Date,Traded Companies,Stock Symbol,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.,Sector
2013-02-06,Zenith Finance Limited,,3,96.00,96.00,96.00,48.00,4608.00,97.00,-1.00 ,
2013-02-07,Zenith Finance Limited,,10,98.00,97.00,97.00,294.00,28638.00,96.00,1.00 ,
2013-02-10,Zenith Finance Limited,,7,96.00,95.00,95.00,396.00,37854.00,97.00,-2.00 ,
2013-02-12,Western Development Bank Limited,,2,85.00,84.00,84.00,48.00,4068.00,86.00,-2.00 ,
2013-02-13,Western Development Bank Limited,,6,84.00,84.00,84.00,72.00,6048.00,84.00,0.00 ,
2013-02-14,Zenith Finance Limited,,2,96.00,96.00,96.00,36.00,3456.00,95.00,1.00 ,
2013-02-17,Tinau Development Bank Limited,,1,111.00,111.00,111.00,450.00,49950.00,109.00,2.00 ,
2013-02-19,Western Development Bank Limited,,1,82.00,82.00,82.00,20.00,1640.00,83.00,-1.00 ,
2013-02-20,Zenith Finance Limited,,2,95.00,95.00,95.00,88.00,8360.00,96.00,-1.00 ,
2013-02-21,Zenith Finance Limited,,9,95.00,93.00,93.00,464.00,43660.00,95.00,-2.00 ,
2013-02-24,Zenith Finance Limited,,2,93.00,93.00,93.00,332.00,30876.00,93.00,0.00 ,
2013-02-25,Zenith Finance Limited,,8,94.00,92.00,93.00,418.00,38742.00,93.00,0.00 ,
2013-02-26,Zenith Finance Limited,,15,96.00,93.00,94.00,726.00,68444.00,93.00,1.00 ,
2013-02-27,Zenith Finance Limited,,6,95.00,93.00,93.00,352.00,33124.00,94.00,-1.00 ,
2013-02-28,Zenith Finance Limited,,1,94.00,94.00,94.00,42.00,3948.00,93.00,1.00 ,
2013-03-03,Zenith Finance Limited,,8,95.00,93.00,95.00,218.00,20570.00,94.00,1.00 ,
2013-03-04,Zenith Finance Limited,,1,94.00,94.00,94.00,12.00,1128.00,95.00,-1.00 ,
2013-03-05,Zenith Finance Limited,,7,95.00,94.00,94.00,617.00,58399.00,94.00,0.00 ,
2013-03-06,Om Development Bank Ltd.,ODBL,6,170.00,166.00,168.00,535.00,89761.00,167.00,1.00 ,Development Banks
2013-03-07,Zenith Finance Limited,,11,97.00,94.00,96.00,390.00,37162.00,95.00,1.00 ,
2013-03-11,Zenith Finance Limited,,8,96.00,94.00,95.00,220.00,20890.00,96.00,-1.00 ,
